title,description,release_year,genre
"The Movie","A great film",2024,"Action"
"Another Film","An exciting story",2023,"Comedy"
"Journey to the Stars","An epic space adventure",2022,"Sci-Fi"
"Love in the City","A heartfelt romantic tale",2021,"Romance"
"The Forgotten Hero","A gripping historical drama",2020,"Drama"
"Fast Wheels","A high-speed racing thriller",2023,"Action"
"Laughter Lane","A hilarious family comedy",2022,"Comedy"
"Whispers of the Forest","A magical fantasy adventure",2021,"Fantasy"
"Detective Noir","A dark and intriguing mystery",2020,"Crime"
"Beyond the Horizon","An inspiring survival story",2019,"Adventure"
"Melody of Life","A touching musical journey",2024,"Musical"
